Player,Team,Rookie,Rating,GP,MPG,PPG,RPG,APG,FG %,FT %
Malcolm Thomas, PHI,0,15.74,17,11.4,2.6,3.3,0.4,45,69.2
Darius Morris, BKN,0,15.6,20,9.6,3.4,0.7,1.4,39.2,42.9
Ognjen Kuzmic, GS,0,15.27,15,4.7,1.3,1.1,0.4,66.7,100
T.J. Warren, PHO ,1,15.2,14,9.3,3.6,0.9,0.2,44.7,100
Nick Johnson, HOU ,1,15.15,17,10.7,3.2,1.4,0.4,34.6,77.8
Jeff Withey, NO,0,15.13,23,5.8,2.1,1.5,0.2,42.9,67.9
Ian Clark, UTA,0,14.95,18,7.7,2.2,0.6,0.5,35.1,100
Johnny O'Bryant, MIL ,1,14.86,18,12.7,3.9,1.7,0.5,40.3,52.9
Jeremy Evans, UTA,0,14.8,17,4.2,1.3,1.2,0.2,42.1,100
Quincy Miller, SAC,0,14.66,2,20,7,4,1,27.3,77.8
Doug McDermott, CHI ,1,13.53,18,11.1,3.1,1.6,0.1,42.3,50
Larry II Drew, PHI ,1,13.48,7,20.6,4.6,1.3,4,35,66.7
Chuck Hayes, TOR,0,13.4,18,9,1.8,1.7,0.7,48.3,55.6
Greg Stiemsma, TOR,0,12.84,9,4.9,1.3,1.2,0.2,83.3,100
Lou Amundson, NY,0,12.66,17,10.9,2,2.9,0.9,38.9,46.2
Gerald Wallace, BOS,0,12.5,18,7.5,0.9,1,0.1,45.5,75
Nate Wolters, NO,0,12.38,18,13.1,2.3,1.8,1,37,33.3
Jannero Pargo, CHA,0,12.24,9,8.1,4.6,0.3,0.9,42.9,100
Ekpe Udoh, LAC,0,11.94,21,3.3,0.6,0.5,0.3,41.7,100
Glenn Robinson, MIN ,1,11.8,22,4.3,1.2,0.6,0.1,34.8,71.4
Spencer Dinwiddie, DET ,1,11.04,11,10.8,2.9,1,2.2,30.8,100
Brandon Rush, GS,0,10.57,21,8,0.9,1.3,0.4,23.3,60
Jordan Adams, MEM ,1,10.52,12,7.2,2.8,0.8,0.5,46.2,50
Andrew Nicholson, ORL,0,10.4,18,8.9,3.1,1.3,0.4,35.8,42.9
Mitch McGary, OKC ,1,10.25,1,7,3,4,0,100,50
Archie Goodwin, PHO,0,10.12,13,7.4,3.6,1.3,0.5,34.1,73.9
Erick Green, DEN ,1,10.1,14,7.3,3.3,0.4,0.7,44.7,50
Devyn Marble, ORL ,1,10.07,16,13,2.3,1.9,1.1,31.8,31.2
James McAdoo, GS ,1,9.53,3,6.7,4.7,1.7,0,71.4,57.1
Tyler Ennis, PHO ,1,9.18,7,7.9,3.1,1,1.6,45,100
Jarnell Stokes, MEM ,1,9.15,16,5.6,2.1,1.3,0.1,48,52.9
Markel Brown, BKN ,1,8.67,13,6.3,2.4,0.8,0.4,33.3,76.9
Brendan Haywood, CLE,0,8.4,16,5.3,1.8,1.6,0.1,48,50
John Jenkins, ATL,0,8.04,4,7.5,3.8,0.8,0,46.2,100
DeJuan Blair, WAS,0,7.39,14,4.6,1.4,1.4,0.1,56.2,50
Shayne Whittington, IND ,1,7.26,13,4.5,2,1.2,0.5,47.4,63.6
Raymond Felton, DAL,0,7.1,8,6.9,3,0.5,1.6,40,100
James Young, BOS ,1,6.4,11,7.4,3.1,0.8,0.3,46.7,0
Martell Webster, WAS,0,6.2,11,10.8,2.7,0.8,0.7,25,72.2
Steve Novak, UTA,0,6.06,19,3.9,1.3,0.7,0.2,36.4,0
Jeff Taylor, CHA,0,5.24,6,7.3,3.3,1.5,0.7,41.2,40
Shavlik Randolph, BOS,0,5.15,16,6.3,1.1,1.6,0.2,24,50
Luigi Datome, DET,0,3.08,1,12,7,1,1,37.5,0
Noah Vonleh, CHA ,1,3.03,8,7.4,1.9,2.2,0.1,35.3,50
Victor Claver, POR,0,2.74,7,10,2.6,2.9,0.1,41.2,0
Kenyon Martin, MIL,0,2.56,8,5.9,1.2,1.1,0.2,33.3,100
Eric Moreland, SAC ,1,2.1,3,0.7,0.7,0.3,0,100,0
Andrea Bargnani, NY,0,1.28,2,11,4.5,2,1,36.4,25
Miroslav Raduljica, MIN,0,1,5,4.6,1.6,1,0,37.5,100
Cartier Martin, DET,0,0.31,14,8.2,1.6,0.8,0.4,27.3,0
Nazr Mohammed, CHI,0,0.03,10,5.9,1.1,1.6,0.1,38.5,33.3
C.J. Wilcox, LAC ,1,-0.39,6,4.8,2.5,0.3,0.3,42.9,0
Cameron Bairstow, CHI ,1,-0.63,11,4.5,0.9,0.7,0.1,25,80
Bruno Caboclo, TOR ,1,-2.95,3,5,2.7,0.7,0,33.3,0
Lucas Nogueira, TOR ,1,-3.98,5,4,1.2,2,0.2,28.6,50
Adreian Payne, ATL ,1,-4.5,3,6.3,1.7,1.3,0,28.6,50
Zoran Dragic, PHO ,1,-6.75,4,2,0.8,0.2,0.2,20,100
Dahntay Jones, LAC,0,-7.2,5,5,0.8,0.2,0,40,0
Julius Randle, LAL ,0,-7.59,1,14,2,0,0,33.3,0
Andrei Kirilenko, PHI,0,-7.8,7,5.1,0.4,1.1,0.1,0,75
Andre Dawkins, BOS ,1,-9.87,4,5.5,0.8,0.5,0.2,16.7,0
Grant Jerrett, OKC ,1,-10.05,5,5,1.4,0.8,0.2,17.6,0
Russ Smith, MEM ,1,-10.21,6,4.8,0.8,0.5,0.3,20,0
Clint N'Dumba-Capela, HOU ,1,-15.65,5,3.6,0,1.2,0.2,0,0
Ricky Ledo, DAL,0,-20.38,2,1,0,0.5,0,0,0
Tyrus Thomas, MEM,0,-21.25,1,1,0,0,0,0,0
Joel Embiid, PHI ,1,-22.5,0,0,0,0,0,0,0
Jason Richardson, PHI,0,-22.5,0,0,0,0,0,0,0
Damien Inglis, MIL ,1,-22.5,0,0,0,0,0,0,0
Steve Nash, LAL,0,-23,0,0,0,0,0,0,0
Paul George, IND,0,-23.5,0,0,0,0,0,0,0
